date,cum_diagnoses,cum_deaths,new_diagnoses,new_deaths,new_tests
2020/03/05,0,0,0,0,42
2020/03/06,0,0,0,0,9
2020/03/07,1,0,1,0,11
2020/03/08,1,0,0,0,0
2020/03/09,1,0,0,0,0
2020/03/10,1,0,0,0,0
2020/03/11,5,0,4,0,104
2020/03/12,6,0,1,0,52
2020/03/13,10,0,4,0,20
2020/03/14,17,0,7,0,24
2020/03/15,24,0,7,0,119
2020/03/16,31,0,7,0,240
2020/03/17,45,0,14,0,131
2020/03/18,61,0,16,0,41
2020/03/19,76,0,15,0,455
2020/03/20,109,0,33,0,415
2020/03/21,125,0,16,0,255
2020/03/22,132,0,7,0,488
2020/03/23,207,0,75,0,904
2020/03/24,302,0,95,0,701
2020/03/25,319,0,17,0,0
2020/03/26,409,0,90,0,1276
2020/03/27,409,0,0,0,2083
2020/03/28,533,0,124,0,885
2020/03/29,584,0,51,0,937
2020/03/30,618,0,34,0,727
2020/03/31,633,1,15,1,688
2020/04/01,645,1,12,0,831
2020/04/02,663,1,18,0,948
2020/04/03,672,1,9,0,619
2020/04/04,693,1,21,0,923
2020/04/05,704,1,11,0,758
2020/04/06,713,1,9,0,316
2020/04/07,713,1,0,0,0
2020/04/08,782,3,69,2,1466
2020/04/09,795,3,13,0,1316
2020/04/10,801,3,6,0,1073
2020/04/11,813,3,12,0,523
2020/04/12,865,3,52,0,1299
2020/04/13,890,4,25,1,924
2020/04/14,909,4,19,0,867
2020/04/15,930,5,21,1,902
2020/04/16,969,6,39,1,1174
2020/04/17,1018,6,49,0,1489
2020/04/18,1101,6,83,0,1904
2020/04/19,1148,6,47,0,1681
2020/04/20,1170,7,22,1,1756
2020/04/21,1199,7,29,0,1401
2020/04/22,1224,7,25,0,1765
2020/04/23,1252,8,28,1,2529
2020/04/24,1281,8,29,0,2277
2020/04/25,1304,8,23,0,2224
2020/04/26,1331,8,27,0,1972
2020/04/27,1353,8,22,0,2537
2020/04/28,1377,8,24,0,1814
2020/04/29,1408,11,31,3,3003
2020/04/30,1446,11,38,0,2686
2020/05/01,1507,11,61,0,2580
2020/05/02,1598,12,91,1,3399
2020/05/03,1624,14,26,2,3889
2020/05/04,1651,14,27,0,3045
2020/05/05,1697,15,46,1,2717
2020/05/06,1720,15,23,0,2922
2020/05/07,1804,15,84,0,3298
2020/05/08,1851,18,47,3,4028
2020/05/09,1910,19,59,1,4216
2020/05/10,1952,22,42,3,4456
2020/05/11,1971,22,19,0,3804
2020/05/12,2014,22,43,0,3519
2020/05/13,2074,24,60,2,4300
2020/05/14,2135,24,61,0,4303
2020/05/15,2210,24,75,0,4786
2020/05/16,2262,25,52,1,4649
2020/05/17,2329,25,67,0,5503
2020/05/18,2343,26,14,1,3666
2020/05/19,2361,27,18,1,3496
2020/05/20,2400,27,39,0,4455
2020/05/21,2453,27,53,0,5054
2020/05/22,2521,29,68,2,4544
2020/05/23,2633,29,112,0,5510
2020/05/24,2773,29,140,0,5031
2020/05/25,2993,30,220,1,3337
2020/05/26,3043,31,50,1,2379
2020/05/27,3167,31,124,0,7489
2020/05/28,3329,31,162,0,5352
2020/05/29,3583,31,254,0,6314
2020/05/30,3773,31,190,0,5605
2020/05/31,4003,33,230,2,6001
2020/06/01,4231,33,228,0,4549
2020/06/02,4276,33,45,0,4852
2020/06/03,4567,33,291,0,6312
2020/06/04,4845,33,278,0,8959
2020/06/05,5215,40,370,7,7797
2020/06/06,5626,47,411,7,10534
2020/06/07,5946,47,320,0,7332
2020/06/08,6258,47,312,0,5937
2020/06/09,6546,57,288,10,6458
2020/06/10,7195,57,649,0,7831
2020/06/11,7953,57,758,0,7746
2020/06/12,8781,57,828,0,8269
2020/06/13,9897,81,1116,24,7091
2020/06/14,11164,81,1267,0,8797
2020/06/15,12193,87,1029,6,6965
2020/06/16,13023,87,830,0,6089
2020/06/17,14620,87,1597,0,8998
2020/06/18,15898,87,1278,0,5355
2020/06/19,17261,114,1363,27,8349
2020/06/20,18978,114,1717,0,8566
2020/06/21,20822,122,1844,8,8896
2020/06/22,22341,122,1519,0,6485
2020/06/23,24041,122,1700,0,7642
2020/06/24,26156,147,2115,25,8811
2020/06/25,28746,149,2590,2,11133
