date,cum_diagnoses,cum_deaths,new_diagnoses,new_deaths,new_tests
2020/03/05,1,0,0,0,7
2020/03/06,1,0,0,0,8
2020/03/07,1,0,0,0,0
2020/03/08,2,0,1,0,0
2020/03/09,6,0,4,0,0
2020/03/10,6,0,0,0,78
2020/03/11,7,0,1,0,39
2020/03/12,8,0,1,0,15
2020/03/13,10,0,2,0,18
2020/03/14,11,0,1,0,88
2020/03/15,12,0,1,0,178
2020/03/16,12,0,0,0,97
2020/03/17,16,0,4,0,31
2020/03/18,19,0,3,0,338
2020/03/19,22,0,3,0,308
2020/03/20,23,0,1,0,190
2020/03/21,26,0,3,0,363
2020/03/22,35,0,9,0,672
2020/03/23,60,0,25,0,521
2020/03/24,80,0,20,0,0
2020/03/25,91,0,11,0,949
2020/03/26,134,0,43,0,1549
2020/03/27,145,0,11,0,658
2020/03/28,156,1,11,1,697
2020/03/29,167,1,11,0,541
2020/03/30,171,1,4,0,511
2020/03/31,179,2,8,1,618
2020/04/01,186,2,7,0,705
2020/04/02,206,2,20,0,460
2020/04/03,215,6,9,4,687
2020/04/04,232,6,17,0,564
2020/04/05,246,7,14,1,235
2020/04/06,257,7,11,0,0
2020/04/07,305,8,48,1,1091
2020/04/08,354,9,49,1,979
2020/04/09,387,9,33,0,798
2020/04/10,412,12,25,3,389
2020/04/11,418,12,6,0,967
2020/04/12,443,12,25,0,687
2020/04/13,465,12,22,0,687
2020/04/14,489,12,24,0,645
2020/04/15,519,18,30,6,671
2020/04/16,539,20,20,2,873
2020/04/17,591,20,52,0,1108
2020/04/18,604,21,13,1,1416
2020/04/19,617,22,13,1,1250
2020/04/20,639,23,22,1,1306
2020/04/21,671,23,32,0,1042
2020/04/22,758,25,87,2,1313
2020/04/23,807,27,49,2,1882
2020/04/24,841,29,34,2,1694
2020/04/25,841,29,0,0,1655
2020/04/26,863,29,22,0,1467
2020/04/27,902,30,39,1,1887
2020/04/28,919,30,17,0,1350
2020/04/29,956,32,37,2,2234
2020/04/30,980,32,24,0,1998
2020/05/01,1006,32,26,0,1919
2020/05/02,1051,34,45,2,2528
2020/05/03,1076,34,25,0,2893
2020/05/04,1106,35,30,1,2265
2020/05/05,1142,36,36,1,2021
2020/05/06,1149,38,7,2,2173
2020/05/07,1204,40,55,2,2454
2020/05/08,1253,42,49,2,2996
2020/05/09,1308,42,55,0,3136
2020/05/10,1353,43,45,1,3315
2020/05/11,1372,44,19,1,2829
2020/05/12,1394,44,22,0,2618
2020/05/13,1413,44,19,0,3199
2020/05/14,1444,44,31,0,3201
2020/05/15,1482,45,38,1,3560
2020/05/16,1498,45,16,0,3458
2020/05/17,1543,45,45,0,4094
2020/05/18,1567,45,24,0,2727
2020/05/19,1616,46,49,1,2600
2020/05/20,1650,46,34,0,3314
2020/05/21,1693,46,43,0,3759
2020/05/22,1735,47,42,1,3380
2020/05/23,1777,48,42,1,4098
2020/05/24,1815,49,38,1,3743
2020/05/25,1882,49,67,0,2482
2020/05/26,1927,49,45,0,1770
