date,cum_diagnoses,cum_deaths,new_diagnoses,new_deaths,new_tests
2020/03/05,0,0,0,0,0
2020/03/06,0,0,0,0,36
2020/03/07,2,0,2,0,41
2020/03/08,0,0,0,0,0
2020/03/09,0,0,0,0,0
2020/03/10,0,0,0,0,0
2020/03/11,13,0,11,0,404
2020/03/12,16,0,3,0,203
2020/03/13,24,0,8,0,76
2020/03/14,38,0,14,0,93
2020/03/15,51,0,13,0,459
2020/03/16,62,0,11,0,929
2020/03/17,85,0,23,0,506
2020/03/18,116,0,31,0,159
2020/03/19,150,0,34,0,1762
2020/03/20,202,0,52,0,1606
2020/03/21,240,0,38,0,987
2020/03/22,274,0,34,0,1890
2020/03/23,402,0,128,0,3500
2020/03/24,554,0,152,0,2714
2020/03/25,709,0,155,0,2471
2020/03/26,927,0,218,0,2471
2020/03/27,1170,1,243,1,8066
2020/03/28,1187,1,17,0,3426
2020/03/29,1280,2,93,1,3630
2020/03/30,1326,3,46,1,2816
2020/03/31,1353,5,27,2,2663
2020/04/01,1380,5,27,0,3220
2020/04/02,1462,5,82,0,3673
2020/04/03,1505,9,43,4,2396
2020/04/04,1585,9,80,0,3576
2020/04/05,1655,11,70,2,2936
2020/04/06,1686,12,31,1,1225
2020/04/07,1749,13,63,1,2839
2020/04/08,1845,18,96,5,2839
2020/04/09,1934,18,89,0,5098
2020/04/10,2003,24,69,6,4154
2020/04/11,2028,25,25,1,2025
2020/04/12,2173,25,145,0,5032
2020/04/13,2272,27,99,2,3578
2020/04/14,2415,27,143,0,3359
2020/04/15,2506,34,91,7,3493
2020/04/16,2605,48,99,14,4545
2020/04/17,2783,50,178,2,5767
2020/04/18,3034,52,251,2,7374
2020/04/19,3158,54,124,2,6510
2020/04/20,3300,58,142,4,6799
2020/04/21,3465,58,165,0,5427
2020/04/22,3635,65,170,7,6837
2020/04/23,3953,75,318,10,9796
2020/04/24,4220,79,267,4,8820
2020/04/25,4361,86,141,7,8614
2020/04/26,4546,87,185,1,7639
2020/04/27,4793,90,247,3,9827
2020/04/28,4996,93,203,3,7027
2020/04/29,5350,103,354,10,11630
2020/04/30,5647,103,297,0,10403
2020/05/01,5951,116,304,13,9992
2020/05/02,6336,123,385,7,13164
2020/05/03,6783,131,447,8,15061
2020/05/04,7220,138,437,7,11794
2020/05/05,7572,148,352,10,10523
2020/05/06,7808,153,236,5,11315
2020/05/07,8232,161,424,8,12774
2020/05/08,8895,178,663,17,15599
2020/05/09,9420,186,525,8,16327
2020/05/10,10015,194,595,8,17257
2020/05/11,10652,206,637,12,14731
2020/05/12,11350,206,698,0,13630
2020/05/13,12074,219,724,13,16655
2020/05/14,12739,238,665,19,16666
2020/05/15,13524,247,785,9,18537
2020/05/16,14355,261,831,14,18004
2020/05/17,15515,264,1160,3,21314
2020/05/18,16433,286,918,22,14198
2020/05/19,17200,312,767,26,13538
2020/05/20,18003,339,803,27,17252
2020/05/21,19137,369,1134,30,19572
2020/05/22,20125,397,988,28,17599
2020/05/23,21343,407,1218,10,21338
2020/05/24,22583,429,1240,22,19485
2020/05/25,23615,481,1032,52,12922
2020/05/26,24264,524,649,43,9214
2020/05/27,25937,552,1673,28,29005
2020/05/28,27403,577,1466,25,20727
2020/05/29,29240,611,1837,34,24452
2020/05/30,30967,643,1727,32,21708
