location,date,total_cases,new_cases,total_deaths,new_deaths,imported_cases,total_tests,new_tests
EC,2020-03-05,0,0,0,0,0,19,19
EC,2020-03-06,0,0,0,0,0,23,4
EC,2020-03-07,0,0,0,0,0,28,5
EC,2020-03-08,0,0,0,0,0,28,0
EC,2020-03-09,0,0,0,0,0,28,0
EC,2020-03-10,0,0,0,0,0,28,0
EC,2020-03-11,0,0,0,0,0,74,46
EC,2020-03-12,0,0,0,0,0,97,23
EC,2020-03-13,0,0,0,0,0,106,9
EC,2020-03-14,0,0,0,0,0,117,11
EC,2020-03-15,0,0,0,0,0,169,52
EC,2020-03-16,0,0,0,0,0,275,106
EC,2020-03-17,0,0,0,0,0,333,58
EC,2020-03-18,0,0,0,0,0,351,18
EC,2020-03-19,0,0,0,0,0,552,201
EC,2020-03-20,0,0,0,0,0,735,183
EC,2020-03-21,1,1,0,0,0,848,113
EC,2020-03-22,2,1,0,0,0,1064,216
EC,2020-03-23,2,0,0,0,0,1464,400
EC,2020-03-24,2,0,0,0,0,1774,310
EC,2020-03-25,2,0,0,0,0,1774,0
EC,2020-03-26,5,3,0,0,0,2338,564
EC,2020-03-27,5,0,0,0,0,3259,921
EC,2020-03-28,10,5,0,0,0,3650,391
EC,2020-03-29,12,2,0,0,0,4065,415
EC,2020-03-30,12,0,0,0,0,4387,322
EC,2020-03-31,12,0,0,0,0,4691,304
EC,2020-04-01,15,3,0,0,0,5059,368
EC,2020-04-02,17,2,0,0,0,5478,419
EC,2020-04-03,21,4,0,0,0,5752,274
EC,2020-04-04,25,4,0,0,0,6160,408
EC,2020-04-05,31,6,0,0,0,6495,335
EC,2020-04-06,32,1,0,0,0,6635,140
EC,2020-04-07,32,0,0,0,0,6635,0
EC,2020-04-08,45,13,0,0,0,7283,648
EC,2020-04-09,61,16,0,0,0,7865,582
EC,2020-04-10,68,7,0,0,0,8339,474
EC,2020-04-11,69,1,0,0,0,8570,231
EC,2020-04-12,88,19,0,0,0,9145,575
EC,2020-04-13,104,16,0,0,0,9554,409
EC,2020-04-14,174,70,0,0,0,9938,384
EC,2020-04-15,199,25,0,0,0,10337,399
EC,2020-04-16,220,21,4,4,0,10856,519
EC,2020-04-17,246,26,4,0,0,11515,659
EC,2020-04-18,270,24,4,0,0,12357,842
EC,2020-04-19,293,23,4,0,0,13100,743
EC,2020-04-20,310,17,5,1,0,13876,776
EC,2020-04-21,345,35,5,0,0,14496,620
EC,2020-04-22,377,32,5,0,0,15277,781
EC,2020-04-23,417,40,6,1,0,16396,1119
EC,2020-04-24,480,63,6,0,0,17403,1007
EC,2020-04-25,488,8,10,4,0,18387,984
EC,2020-04-26,535,47,10,0,0,19259,872
EC,2020-04-27,588,53,10,0,0,20381,1122
EC,2020-04-28,616,28,10,0,0,21184,803
EC,2020-04-29,630,14,11,1,0,22512,1328
EC,2020-04-30,647,17,11,0,0,23700,1188
EC,2020-05-01,691,44,11,0,0,24841,1141
EC,2020-05-02,732,41,13,2,0,26344,1503
EC,2020-05-03,774,42,17,4,0,28064,1720
EC,2020-05-04,814,40,17,0,0,29411,1347
EC,2020-05-05,838,24,18,1,0,30613,1202
EC,2020-05-06,849,11,18,0,0,31905,1292
EC,2020-05-07,929,80,18,0,0,33364,1459
EC,2020-05-08,989,60,21,3,0,35145,1781
EC,2020-05-09,1078,89,21,0,0,37010,1865
EC,2020-05-10,1218,140,22,1,0,38981,1971
EC,2020-05-11,1356,138,24,2,0,40663,1682
EC,2020-05-12,1504,148,24,0,0,42220,1557
EC,2020-05-13,1534,30,24,0,0,44122,1902
EC,2020-05-14,1569,35,31,7,0,46025,1903
EC,2020-05-15,1662,93,31,0,0,48142,2117
EC,2020-05-16,1812,150,32,1,0,50198,2056
EC,2020-05-17,1936,124,35,3,0,52632,2434
EC,2020-05-18,2052,116,39,4,0,54253,1621
EC,2020-05-19,2135,83,41,2,0,55799,1546
EC,2020-05-20,2215,80,45,4,0,57769,1970
EC,2020-05-21,2324,109,50,5,0,60004,2235
EC,2020-05-22,2459,135,53,3,0,62014,2010
EC,2020-05-23,2569,110,58,5,0,64451,2437
EC,2020-05-24,2690,121,59,1,0,66676,2225
EC,2020-05-25,2748,58,61,2,0,68152,1476
EC,2020-05-26,2864,116,70,9,0,69204,1052
EC,2020-05-27,3047,183,70,0,0,72516,3312
EC,2020-05-28,3306,259,77,7,0,74883,2367
EC,2020-05-29,3583,277,80,3,0,77675,2792
EC,2020-05-30,3759,176,82,2,0,80154,2479
EC,2020-05-31,3927,168,82,0,0,82808,2654
EC,2020-06-01,4111,184,82,0,0,84820,2012
EC,2020-06-02,4324,213,88,6,0,86966,2146
EC,2020-06-03,4526,202,95,7,0,89758,2792
EC,2020-06-04,4936,410,95,0,0,93720,3962
EC,2020-06-05,5240,304,95,0,0,97168,3448
