date,cum_diagnoses,cum_deaths,new_diagnoses,new_deaths,test_yield,new_tests
3/30/2020,345,0,0,0,4.38%,0
3/31/2020,376,0,31,0,7.65%,405
4/1/2020,393,0,17,0,12.35%,138
4/2/2020,417,0,24,0,4.55%,527
4/3/2020,437,0,20,0,4.43%,451
4/4/2020,473,0,36,0,5.19%,694
4/5/2020,476,0,3,0,6.20%,48
4/6/2020,488,2,12,2,3.12%,385
4/7/2020,511,3,23,1,1.52%,1513
4/8/2020,520,3,9,0,2.13%,423
4/9/2020,541,3,21,3,2.35%,894
4/10/2020,568,6,27,3,4.23%,638
4/11/2020,597,6,29,4,10.22%,284
4/12/2020,618,7,21,7,7.96%,264
4/13/2020,664,7,46,0,7.03%,654
4/14/2020,682,7,18,0,1.27%,1417
4/15/2020,701,7,19,0,1.29%,1473
4/16/2020,732,7,31,0,2.34%,1325
4/17/2020,814,13,82,6,3.82%,2147
4/18/2020,866,16,52,3,7.56%,688
4/19/2020,905,17,39,1,10.69%,365
4/20/2020,974,17,69,0,5.49%,1257
4/21/2020,1068,22,94,5,5.95%,1580
4/22/2020,1154,25,86,3,7.27%,1183
4/23/2020,1314,28,160,3,5.08%,3150
4/24/2020,1435,30,121,2,2.39%,5063
4/25/2020,1531,32,96,2,12.76%,752
4/26/2020,1618,33,87,1,4.95%,1758
4/27/2020,1778,35,160,2,15.69%,1020
4/28/2020,1935,38,157,3,7.07%,2221
4/29/2020,1935,38,0,0,6.74%,0
4/30/2020,2371,46,436,8,6.32%,6899
5/1/2020,2536,48,165,2,12.84%,1285
5/2/2020,2783,52,247,4,30.10%,821
5/3/2020,3113,58,330,6,18.69%,1766
5/4/2020,3451,64,338,6,11.33%,2983
5/5/2020,3680,70,229,6,14.08%,1626
5/6/2020,3771,72,91,2,15.89%,573
5/7/2020,4049,76,278,4,14.54%,1912
5/8/2020,4584,87,535,11,14.38%,3720
5/9/2020,4916,95,332,8,21.12%,1572
5/10/2020,5307,102,391,7,21.60%,1810
5/11/2020,5813,106,506,4,20.15%,2511
5/12/2020,6194,110,381,4,19.15%,1990
5/13/2020,6767,110,573,0,19.50%,2938
5/14/2020,7250,110,483,0,18.17%,2658
5/15/2020,7586,137,336,27,17.25%,1948
5/16/2020,8507,147,921,10,19%,4847
5/17/2020,9246,156,739,9,23.67%,3122
5/18/2020,9927,165,681,9,20.98%,3246
5/19/2020,10558,183,631,18,22.77%,2771
5/20/2020,11072,211,514,28,22.32%,2303
5/21/2020,11810,235,738,24,19.32%,3820
5/22/2020,12519,257,709,22,20.24%,3503
5/23/2020,12947,276,428,19,22.76%,1880
5/24/2020,13969,300,1022,24,24.64%,4148
5/25/2020,14978,318,1009,18,22.32%,4521
5/26/2020,15756,357,778,39,23.06%,3374
5/27/2020,16551,387,795,30,22.37%,3554
5/28/2020,17283,403,732,16,22.33%,3278
5/29/2020,18350,437,1067,34,22.88%,4663
5/30/2020,19523,472,1173,35,22.63%,5183
5/31/2020,21103,488,1580,16,26.62%,5935
6/1/2020,22087,521,984,33,23.73%,4147
6/2/2020,23095,562,1008,41,22.36%,4508
6/3/2020,24564,601,1469,39,24.02%,6116
6/4/2020,26386,643,1822,42,22.50%,8098
6/5/2020,28082,684,1696,41,23.06%,7355
6/6/2020,29136,699,1054,15,25.61%,4116
6/7/2020,29136,699,0,0,31.29%,0
6/8/2020,32048,798,2912,99,24.29%,11988
6/9/2020,33892,851,1844,53,26.62%,6927
6/10/2020,36279,891,2387,40,27.47%,8689
6/11/2020,36279,927,0,36,27.39%,0
6/12/2020,38000,966,1721,39,25.96%,6629
6/13/2020,39159,1008,1159,42,29.24%,3964
6/14/2020,40232,1048,1073,40,38.03%,2821
6/15/2020,42892,1111,2660,63,25.55%,10411
6/16/2020,43845,1156,953,45,30.90%,3084
6/17/2020,45767,1205,1922,49,30.62%,6277
6/18/2020,46951,1276,1184,71,32.21%,3676
6/19/2020,47892,1309,941,33,29.79%,3159
6/20/2020,48806,1373,914,64,30.11%,3036
6/21/2020,50067,1399,1261,26,36.07%,3496
6/22/2020,51351,1424,1284,25,30.92%,4153
6/23/2020,52178,1500,827,76,29.86%,2770
6/24/2020,54835,1565,2657,65,28.95%,9178
6/25/2020,56345,1619,1510,54,27.89%,5414
6/26/2020,57620,1653,1275,34,27.82%,4583
6/27/2020,58925,1696,1305,43,28.68%,4550
6/28/2020,60195,1737,1270,41,32.94%,3855
6/29/2020,61445,1775,1250,38,33.65%,3715
6/30/2020,62157,1824,712,49,33.14%,2148
7/1/2020,63816,1859,1659,35,31.52%,5263
7/2/2020,63816,1859,0,0,33.40%,0
7/3/2020,66195,1969,2379,110,32.54%,7311
7/4/2020,67351,2014,1156,45,34.11%,3389
7/5/2020,68273,2052,922,38,43.06%,2141
7/6/2020,68273,2052,0,0,32.41%,0
7/7/2020,71272,2139,2999,87,30.32%,9891
7/8/2020,72808,2177,1536,38,30.73%,4998
7/9/2020,74207,2224,1399,47,30.06%,4654
7/10/2020,75718,2282,1511,58,29.41%,5138
7/11/2020,76581,2323,863,41,29.19%,2956
7/12/2020,77476,2343,895,20,32.63%,2743
7/13/2020,78548,2367,1072,24,21.23%,5049
7/14/2020,79332,2416,784,49,27.60%,2841
7/15/2020,80656,2455,1324,39,29.09%,4551
7/16/2020,82264,2493,1608,38,28.44%,5654
7/17/2020,83480,2543,1216,50,27.42%,4435
7/18/2020,84402,2587,922,44,30.09%,3064
7/19/2020,84402,2587,0,0,33.95%,0
7/20/2020,84340,2654,0,67,27.89%,0
7/21/2020,85009,2694,669,40,25.99%,2574
7/22/2020,86372,2746,1363,52,28.16%,4840
7/23/2020,87474,2788,1102,42,26.25%,4198
7/24/2020,88499,2817,1025,29,24.29%,4220
7/25/2020,89600,2841,1101,24,26.77%,4113
7/26/2020,90574,2862,974,21,23.33%,4175
7/27/2020,91180,2897,606,35,25.23%,2402
7/28/2020,91659,2948,479,51,21.56%,2222
7/29/2020,91659,2948,0,0,22.61%,0
7/30/2020,92845,3009,1186,61,19.93%,5951
7/31/2020,93413,3040,568,31,18.57%,3059
8/1/2020,94197,3070,784,30,27.86%,2814
8/2/2020,94691,3105,494,35,21.21%,2329
8/3/2020,95407,3143,716,38,22.22%,3222
8/4/2020,95904,3236,497,93,20.83%,2386
8/5/2020,96466,3265,562,29,18.09%,3107
8/6/2020,97013,3313,547,48,21.09%,2594
8/7/2020,97506,3347,493,34,17.86%,2760
8/8/2020,97966,3374,460,27,16.83%,2733
8/9/2020,98354,3392,388,18,22.20%,1748
8/10/2020,98656,3424,302,32,20.18%,1497
8/11/2020,98868,3454,212,30,15.35%,1381
8/12/2020,99074,3482,206,28,18.29%,1126
8/13/2020,99419,3502,345,20,15.76%,2189
8/14/2020,99806,3528,387,26,16.26%,2380
8/15/2020,100344,3560,538,32,14.34%,3752
8/16/2020,100778,3573,434,13,11.88%,3653
8/17/2020,101037,3573,259,0,17.31%,1496
8/18/2020,101196,3641,159,68,21.09%,754
8/19/2020,101433,3665,237,24,14.94%,1586
8/20/2020,101823,3682,390,17,15.18%,2569
8/21/2020,102422,3708,599,26,12.38%,4838
8/22/2020,102422,3708,0,0,15.03%,0
8/23/2020,102605,3726,183,18,11.85%,1544
8/24/2020,102615,3743,10,17,16.18%,62
8/25/2020,102698,3761,83,18,14.33%,579
8/26/2020,102976,3801,278,40,12.61%,2205
8/27/2020,104533,3841,1557,40,10.96%,14206
8/28/2020,104681,3850,148,9,12.97%,1141
8/29/2020,104862,3861,181,11,10.36%,1747
