date,cum_diagnoses,cum_deaths,new_diagnoses,new_deaths,new_tests
2020/03/30,324,1,14,1,0
2020/03/31,325,1,1,0,405
2020/04/01,326,1,1,0,138
2020/04/02,353,1,27,0,527
2020/04/03,374,1,21,1,451
2020/04/04,433,1,59,0,694
2020/04/05,454,2,21,2,48
2020/04/06,462,3,8,1,385
2020/04/07,462,3,0,0,1513
2020/04/08,495,3,495,0,423
2020/04/09,515,3,20,0,894
2020/04/10,541,6,26,3,638
2020/04/11,546,7,5,1,284
2020/04/12,587,7,41,0,264
2020/04/13,617,8,30,1,654
2020/04/14,643,8,26,0,1417
2020/04/15,657,8,14,0,1473
2020/04/16,675,13,18,5,1325
2020/04/17,717,15,42,2,2147
2020/04/18,836,16,119,1,688
2020/04/19,868,17,32,1,365
2020/04/20,940,17,72,0,1257
2020/04/21,1010,17,70,0,1580
2020/04/22,1079,22,69,5,1183
2020/04/23,1279,28,200,6,3150
2020/04/24,1413,30,134,2,5063
2020/04/25,1514,32,101,2,752
2020/04/26,1608,33,94,1,1758
2020/04/27,1737,35,129,2,1020
2020/04/28,1870,38,133,3,2221
2020/04/29,2135,42,265,4,0
2020/04/30,2342,42,207,0,6899
2020/05/01,2507,55,165,13,1285
2020/05/02,2700,56,193,1,821
2020/05/03,3044,58,344,2,1766
2020/05/04,3362,64,318,6,2983
2020/05/05,3609,71,247,7,1626
2020/05/06,3760,73,151,2,573
2020/05/07,3994,79,234,6,1912
2020/05/08,4497,88,503,9,3720
2020/05/09,4809,95,312,7,1572
2020/05/10,5168,98,359,3,1810
2020/05/11,5621,106,453,8,2511
2020/05/12,6105,106,484,0,1990
2020/05/13,6713,117,608,11,2938
2020/05/14,7235,129,522,12,2658
2020/05/15,7798,137,563,8,1948
2020/05/16,8404,149,606,12,4847
2020/05/17,9294,149,890,0,3122
2020/05/18,10035,166,741,17,3246
2020/05/19,10639,187,604,21,2771
2020/05/20,11262,210,623,23,2303
2020/05/21,12153,235,891,25,3820
2020/05/22,12888,257,735,22,3503
2020/05/23,13826,261,938,4,1880
2020/05/24,14740,281,914,20,4148
2020/05/25,15396,330,656,49,4521
2020/05/26,15829,363,433,33,3374
2020/05/27,16893,391,1064,28,3554
2020/05/28,17754,406,861,15,3278
2020/05/29,18906,437,1152,31,4663
2020/05/30,20160,465,1254,28,5183
2020/05/31,21382,503,1222,38,5935
2020/06/01,22567,525,1185,22,4147
2020/06/02,23583,568,1016,43,4508
2020/06/03,24657,597,1074,29,6116
2020/06/04,27006,651,2349,54,8098
2020/06/05,28807,704,1801,53,7355
2020/06/06,30379,729,1572,25,4116
2020/06/07,31824,774,1445,45,0
2020/06/08,33568,829,1744,55,11988
2020/06/09,34819,890,1251,61,6927
2020/06/10,36021,927,1202,37,8689
2020/06/11,37422,966,1401,39,0
2020/06/12,38926,1005,1504,39,6629
2020/06/13,40605,1041,1679,36,3964
2020/06/14,42539,1083,1934,42,2821
2020/06/15,44143,1156,1604,73,10411
2020/06/16,45357,1200,1214,44,3084
2020/06/17,46555,1243,1198,43,6277
2020/06/18,47522,1300,967,57,3676
2020/06/19,48706,1360,1184,60,3159
2020/06/20,50173,1392,1467,32,3036
2020/06/21,51441,1419,1268,27,3496
2020/06/22,52554,1458,1113,39,4153
2020/06/23,53512,1536,958,78,2770
2020/06/24,55162,1599,1650,63,9178
2020/06/25,56780,1652,1618,53,5414
2020/06/26,57941,1692,1161,40,4583
2020/06/27,59315,1732,1374,40,4550
2020/06/28,60445,1764,1130,32,3855
2020/06/29,61375,1807,930,43,3715
2020/06/30,62481,1859,1106,52,2148
2020/07/01,64377,1896,1896,37,5263
2020/07/02,65841,1925,1464,29,0
2020/07/03,66936,1983,1095,58,7311
2020/07/04,68376,2026,1440,43,3389
2020/07/05,69531,2066,1155,40,2141
2020/07/06,70938,2101,1407,35,0
2020/07/07,72156,2145,1218,44,9891
2020/07/08,73292,2192,1136,47,4998
2020/07/09,74815,2229,1523,37,4654
2020/07/10,76067,2295,1252,66,5138
2020/07/11,77336,2333,1269,38,2956
2020/07/12,78399,2348,1063,15,2743
2020/07/13,79344,2385,945,37,5049
2020/07/14,80199,2429,855,44,2841
2020/07/15,81556,2467,1357,38,4551
2020/07/16,82986,2514,1430,47,5654
2020/07/17,84254,2550,1268,36,4435
2020/07/18,85411,2593,1157,43,3064
2020/07/19,85926,2619,515,26,0
2020/07/20,85772,2669,-154,50,0
2020/07/21,86329,2717,557,48,2574
2020/07/22,87847,2752,1518,35,4840
2020/07/23,88928,2780,1081,28,4198
2020/07/24,90011,2827,1083,47,4220
2020/07/25,91033,2845,1022,18,4113
2020/07/26,92079,2875,1046,30,4175
2020/07/27,92600,2911,521,36,2402
2020/07/28,92983,2960,383,49,2222
2020/07/29,93737,2983,754,23,0
2020/07/30,94440,3017,703,34,5951
2020/07/31,95223,3050,783,33,3059
2020/08/01,96189,3074,966,24,2814
2020/08/02,96838,3117,649,43,2329
2020/08/03,97076,3148,238,31,3222
2020/08/04,97261,3245,185,97,2386
2020/08/05,98031,3279,770,34,3107
2020/08/06,98599,3325,568,46,2594
2020/08/07,99027,3354,428,29,2760
2020/08/08,99588,3376,561,22,2733
2020/08/09,99959,3399,371,23,1748
2020/08/10,100213,3429,254,30,1497
2020/08/11,100316,3454,103,25,1381
2020/08/12,100536,3485,220,31,1126
2020/08/13,100976,3506,440,21,2189
2020/08/14,101570,3534,594,28,2380
2020/08/15,101989,3560,419,26,3752
2020/08/16,102449,3580,460,20,3653
2020/08/17,102609,3612,160,32,1496
2020/08/18,102739,3646,130,34,754
2020/08/19,103210,3675,471,29,1586
2020/08/20,103616,3688,406,13,2569
2020/08/21,103942,3713,326,25,4838
2020/08/22,104285,3718,343,5,0
2020/08/23,104588,3726,303,8,1544
2020/08/24,104667,3745,79,19,62
2020/08/25,104781,3763,114,18,579
2020/08/26,104997,3823,216,60,2205
2020/08/27,105273,3843,276,20,14206
2020/08/28,105507,3853,234,10,1141
2020/08/29,105676,3862,169,9,1747
2020/08/30,105908,3869,232,7,2550
2020/08/31,106021,3893,113,24,2195
2020/09/01,106114,3913,93,20,1361
2020/09/02,106353,3929,239,16,2482
2020/09/03,106582,3946,229,17,2373
2020/09/04,106787,3950,205,4,2166
2020/09/05,106982,3960,195,10,2110
2020/09/06,107187,3961,205,1,1906
2020/09/07,107244,3974,57,13,1020
2020/09/08,107331,3994,87,20,1422
2020/09/09,107624,4016,293,22,2531
2020/09/10,107867,4022,243,6,2394
2020/09/11,108048,4040,181,18,2412
2020/09/12,108279,4053,231,13,2168
2020/09/13,108431,4059,152,6,1827
2020/09/14,108486,4066,55,7,1180
2020/09/15,108538,4079,52,13,1351
2020/09/16,108767,4088,229,9,2441
2020/09/17,108995,4100,228,12,2603
